src dst rating
20 1 202
14 1 203
30 1 204
18 1 205
2 1 206
4 1 207
0 1 208
31 1 199
25 1 180
24 1 181
25 1 182
13 1 173
1 1 174
0 1 175
31 1 166
1 1 167
13 1 168
9 1 169
15 1 170
23 1 171
5 1 172
21 1 173
21 1 174
24 1 175
29 1 176
4 1 177
18 1 178
9 1 179
10 1 180
20 1 181
19 1 182
3 1 183
7 1 184
4 1 185
5 1 186
28 1 187
18 1 188
25 1 189
22 1 180
22 1 181
25 1 182
16 1 183
11 1 184
10 1 185
3 1 186
15 1 187
5 1 188
24 1 189
2 1 190
17 1 191
12 1 182
1 1 183
10 1 184
10 1 185
30 1 186
13 1 187
15 1 188
13 1 189
14 1 190
28 1 191
17 1 192
13 1 193
2 1 194
10 1 195
15 1 196
22 1 197
26 1 198
10 1 199
30 1 200
17 1 201
15 1 202
6 1 203
0 1 204
31 1 205
17 1 196
16 1 197
27 1 198
25 1 199
26 1 200
0 1 201
12 1 202
4 1 203
18 1 204
0 1 205
14 1 206
23 1 207
11 1 208
0 1 209
9 1 210
4 1 211
21 1 212
14 1 213
15 1 214
6 1 215
4 1 216
25 1 217
23 1 218
2 1 219
5 1 220
7 1 121
9 1 122
11 1 123
30 1 124
19 1 125
4 1 126
5 1 127
7 1 128
11 1 129
7 1 130
30 1 131
1 1 132
25 1 133
12 1 134
20 1 135
14 1 136
30 1 137
27 1 138
30 1 139
5 1 140
18 1 141
0 1 142
28 1 143
3 1 144
21 1 145
29 1 146
18 1 147
28 1 148
23 1 149
28 1 150
24 1 151
31 1 152
0 1 153
19 1 154
26 1 155
9 1 156
11 1 157
15 1 158
2 1 159
22 1 160
27 1 161
13 1 162
24 1 163
26 1 164
6 1 165
2 1 166
24 1 167
8 1 168
6 1 169
4 1 170
19 1 171
8 1 162
30 1 163
26 1 164
25 1 165
27 1 166
22 1 167
22 1 168
1 1 169
12 1 170
0 1 171
9 1 172
27 1 173
16 1 174
15 1 175
0 1 176
5 1 177
6 1 178
4 1 179
29 1 180
2 1 181
13 1 182
20 1 183
30 1 184
26 1 185
18 1 186
23 1 187
2 1 188
16 1 189
28 1 190
26 1 191
13 1 192
10 1 193
19 1 194
3 1 195
30 1 196
11 1 197
22 1 198
10 1 199
2 1 200
1 1 201
27 1 202
23 1 203
0 1 204
11 1 205
19 1 206
21 1 207
3 1 208
10 1 209
21 1 210
25 1 111
16 1 112
23 1 113
5 1 114
27 1 115
19 1 116
6 1 117
13 1 118
3 1 119
2 1 120
31 1 121
13 1 122
18 1 123
20 1 124
5 1 125
17 1 126
16 1 127
15 1 128
20 1 129
7 1 130
6 1 131
14 1 132
11 1 133
12 1 134
11 1 135
8 1 136
14 1 137
6 1 138
7 1 139
17 1 140
16 1 141
11 1 142
28 1 143
2 1 144
2 1 145
27 1 146
20 1 147
9 1 148
30 1 149
2 1 150
24 1 151
20 1 152
4 1 153
29 1 154
28 1 155
17 1 156
3 1 157
4 1 158
31 1 159
21 1 160
27 1 161
19 1 162
10 1 163
30 1 164
11 1 165
15 1 166
21 1 167
4 1 168
20 1 169
19 1 170
12 1 171
11 1 172
19 1 173
12 1 174
22 1 175
23 1 176
3 1 177
15 1 178
25 1 179
3 1 180
1 1 181
2 1 182
28 1 183
20 1 184
16 1 185
24 1 186
30 1 187
18 1 188
11 1 189
18 1 190
8 1 191
7 1 192
4 1 193
15 1 194
29 1 195
6 1 196
15 1 197
13 1 198
27 1 199
29 1 200
28 1 201
27 1 202
30 1 203
5 1 204
28 1 205
2 1 206
8 1 207
10 1 208
1 1 209
12 1 210
28 1 111
10 1 112
22 1 113
20 1 114
6 1 115
21 1 116
20 1 117
22 1 118
1 1 119
19 1 120
22 1 121
5 1 122
29 1 123
22 1 124
0 1 125
18 1 126
23 1 127
5 1 128
0 1 129
30 1 130
27 1 131
29 1 132
10 1 133
14 1 134
22 1 135
7 1 136
4 1 137
30 1 138
8 1 139
1 1 140
10 1 141
11 1 142
8 1 143
22 1 144
8 1 145
17 1 146
11 1 147
10 1 148
8 1 149
28 1 150
2 1 151
0 1 152
11 1 153
28 1 154
27 1 155
17 1 156
16 1 157
17 1 158
11 1 159
10 1 160
16 1 161
3 1 162
15 1 163
13 1 164
4 1 165
8 1 166
8 1 167
4 1 168
5 1 169
5 1 170
16 1 171
2 1 172
17 1 173
3 1 174
26 1 175
19 1 176
30 1 177
28 1 178
3 1 179
25 1 180
22 1 181
5 1 182
24 1 183
26 1 184
11 1 185
17 1 186
5 1 187
29 1 188
31 1 189
22 1 190
8 1 191
7 1 192
31 1 193
12 1 194
9 1 195
12 1 196
17 1 197
3 1 198
0 1 199
21 1 200
31 1 201
27 1 202
22 1 203
16 1 204
22 1 205
2 1 206
23 1 207
16 1 208
14 1 209
1 0 300
1 4 171
1 21 152
1 11 153
1 18 154
1 4 155
1 16 146
1 15 147
1 24 148
1 29 149
1 16 150
1 18 151
1 3 152
1 13 143
1 12 144
1 10 145
1 15 146
1 21 147
1 16 148
1 4 149
1 25 150
